읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110154,서울특별시,11110,종로구,장사동,126.99402964,37.56923291,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.19
11110154,서울특별시,11110,종로구,장사동,126.99402964,37.56923291,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,22.85
11110161,서울특별시,11110,종로구,종로4가,126.99797340,37.57067807,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.85
11110161,서울특별시,11110,종로구,종로4가,126.99797340,37.57067807,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.25
11110161,서울특별시,11110,종로구,종로4가,126.99797340,37.57067807,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,22.72
11110182,서울특별시,11110,종로구,구기동,126.95928612,37.61938583,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,10.86
11110182,서울특별시,11110,종로구,구기동,126.95928612,37.61938583,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,21.10
11110182,서울특별시,11110,종로구,구기동,126.95928612,37.61938583,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,25.34
11110156,서울특별시,11110,종로구,종로3가,126.99235428,37.57040879,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.98
11110156,서울특별시,11110,종로구,종로3가,126.99235428,37.57040879,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.00
11110156,서울특별시,11110,종로구,종로3가,126.99235428,37.57040879,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.04
11110183,서울특별시,11110,종로구,평창동,126.97450242,37.61302972,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,12.24
11110183,서울특별시,11110,종로구,평창동,126.97450242,37.61302972,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,19.97
11110183,서울특별시,11110,종로구,평창동,126.97450242,37.61302972,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,26.07
11110176,서울특별시,11110,종로구,교남동,126.96444885,37.56854491,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.78
